Flux1,Flux2,Flux3,Flux4,Flux5,Flux6,Time,Depths,Mstats
1.0505013209217489,1.0505013209217489,1.0505013209217489,1.0505013209217489,1.0505013209217489,1.0505013209217489,0.0,0.5591316225323141,1.4509028139484494
1.0289398784373291,1.0289398784373291,1.0289398784373291,1.0289398784373291,1.0289398784373291,1.0289398784373291,0.020833886321270256,0.6287709707070535,1.430130465679108
1.016522185846204,1.016522185846204,1.016522185846204,1.016522185846204,1.016522185846204,1.016522185846204,0.041667771521588286,0.7140897295593702,1.3886176226596274
1.0107773765326735,1.0107773765326735,1.0107773765326735,1.0107773765326735,1.0107773765326735,1.0107773765326735,0.06250165578057931,0.8157376711370159,1.2908675909321163
1.0083893631646017,1.0083893631646017,1.0083893631646017,1.0083893631646017,1.0083893631646017,1.0083893631646017,0.08333553928446236,0.9182533351960092,0.9450702890960732
1.013769582441884,1.013769582441884,1.013769582441884,1.013769582441884,1.013769582441884,1.013769582441884,0.10416942222059332,0.9747503988710194,0.11758176651025934
1.0170186772330805,1.0170186772330805,1.0170186772330805,1.0170186772330805,1.0170186772330805,1.0170186772330805,0.1250033047801935,,
1.0189759926487982,1.0189759926487982,1.0189759926487982,1.0189759926487982,1.0189759926487982,1.0189759926487982,0.1458371871487998,,
1.0226520605603715,1.0226520605603715,1.0226520605603715,1.0226520605603715,1.0226520605603715,1.0226520605603715,0.1666710695042184,,
1.021504079057122,1.021504079057122,1.021504079057122,1.021504079057122,1.021504079057122,1.021504079057122,0.18750495201925327,,
1.0174380165604089,1.0174380165604089,1.0174380165604089,1.0174380165604089,1.0174380165604089,1.0174380165604089,0.2083388348512472,,
1.01988998530632,1.01988998530632,1.01988998530632,1.01988998530632,1.01988998530632,1.01988998530632,0.2291727181418537,,
1.0177087493945216,1.0177087493945216,1.0177087493945216,1.0177087493945216,1.0177087493945216,1.0177087493945216,0.2500066020181748,,
1.0169303354332841,1.0169303354332841,1.0169303354332841,1.0169303354332841,1.0169303354332841,1.0169303354332841,0.27084048658298343,,
1.0214185048938726,1.0214185048938726,1.0214185048938726,1.0214185048938726,1.0214185048938726,1.0214185048938726,0.3125082581002516,,
1.0227391174607572,1.0227391174607572,1.0227391174607572,1.0227391174607572,1.0227391174607572,1.0227391174607572,0.333342145149345,,
1.018748654853527,1.018748654853527,1.018748654853527,1.018748654853527,1.018748654853527,1.018748654853527,0.3541760330840589,,
1.0189516922990425,1.0189516922990425,1.0189516922990425,1.0189516922990425,1.0189516922990425,1.0189516922990425,0.39584381153531467,,
1.017536415338184,1.017536415338184,1.017536415338184,1.017536415338184,1.017536415338184,1.017536415338184,0.4166777019547681,,
1.0592302730041416,1.0592302730041416,1.0592302730041416,1.0592302730041416,1.0592302730041416,1.0592302730041416,0.7083521732174631,,
1.053528008375224,1.053528008375224,1.053528008375224,1.053528008375224,1.053528008375224,1.053528008375224,0.7291860575785449,,
1.0459224319074345,1.0459224319074345,1.0459224319074345,1.0459224319074345,1.0459224319074345,1.0459224319074345,0.7500199402286398,,
1.0393646113064487,1.0393646113064487,1.0393646113064487,1.0393646113064487,1.0393646113064487,1.0393646113064487,0.7708538210613369,,
1.031144824594988,1.031144824594988,1.031144824594988,1.031144824594988,1.031144824594988,1.031144824594988,0.7916876999950091,,
1.0287713384173245,1.0287713384173245,1.0287713384173245,1.0287713384173245,1.0287713384173245,1.0287713384173245,0.812521576969857,,
1.0240008490165915,1.0240008490165915,1.0240008490165915,1.0240008490165915,1.0240008490165915,1.0240008490165915,0.8333554519497284,,
1.0213990925761596,1.0213990925761596,1.0213990925761596,1.0213990925761596,1.0213990925761596,1.0213990925761596,0.8541893249237091,,
1.0196743412087192,1.0196743412087192,1.0196743412087192,1.0196743412087192,1.0196743412087192,1.0196743412087192,0.8750231959052144,,
1.018709147631451,1.018709147631451,1.018709147631451,1.018709147631451,1.018709147631451,1.018709147631451,0.8958570649326703,,
1.0157312750007388,1.0157312750007388,1.0157312750007388,1.0157312750007388,1.0157312750007388,1.0157312750007388,0.9166909320681498,,
1.0168100140399512,1.0168100140399512,1.0168100140399512,1.0168100140399512,1.0168100140399512,1.0168100140399512,0.9375247973966908,,
1.0146029065339883,1.0146029065339883,1.0146029065339883,1.0146029065339883,1.0146029065339883,1.0146029065339883,0.958358661026068,,
1.0103110628140188,1.0103110628140188,1.0103110628140188,1.0103110628140188,1.0103110628140188,1.0103110628140188,0.9791925230813376,,
1.0080310573442943,1.0080310573442943,1.0080310573442943,1.0080310573442943,1.0080310573442943,1.0080310573442943,1.000026383706654,,
1.0091207359056464,1.0091207359056464,1.0091207359056464,1.0091207359056464,1.0091207359056464,1.0091207359056464,1.0208602430602696,,
1.0064139303373452,1.0064139303373452,1.0064139303373452,1.0064139303373452,1.0064139303373452,1.0064139303373452,1.0416941013133965,,
1.0045878784653477,1.0045878784653477,1.0045878784653477,1.0045878784653477,1.0045878784653477,1.0045878784653477,1.0625279586454326,,
1.006241044013422,1.006241044013422,1.006241044013422,1.006241044013422,1.006241044013422,1.006241044013422,1.0833618152430518,,
1.0035211179230286,1.0035211179230286,1.0035211179230286,1.0035211179230286,1.0035211179230286,1.0035211179230286,1.1041956712958836,,
1.0040515481260022,1.0040515481260022,1.0040515481260022,1.0040515481260022,1.0040515481260022,1.0040515481260022,1.1250295269921935,,
1.0010689230850425,1.0010689230850425,1.0010689230850425,1.0010689230850425,1.0010689230850425,1.0010689230850425,1.1666972380517109,,
1.0017400236771226,1.0017400236771226,1.0017400236771226,1.0017400236771226,1.0017400236771226,1.0017400236771226,1.1875310937623451,,
1.005215435275675,1.005215435275675,1.005215435275675,1.005215435275675,1.005215435275675,1.005215435275675,1.2083649498053999,,
0.998436646044547,0.998436646044547,0.998436646044547,0.998436646044547,0.998436646044547,0.998436646044547,1.2291988063216197,,
0.9976363222192062,0.9976363222192062,0.9976363222192062,0.9976363222192062,0.9976363222192062,0.9976363222192062,1.2500326634351495,,
0.9977828087114496,0.9977828087114496,0.9977828087114496,0.9977828087114496,0.9977828087114496,0.9977828087114496,1.270866521246944,,
0.9969652465642006,0.9969652465642006,0.9969652465642006,0.9969652465642006,0.9969652465642006,0.9969652465642006,1.2917003798399946,,
0.9977304537075812,0.9977304537075812,0.9977304537075812,0.9977304537075812,0.9977304537075812,0.9977304537075812,1.3125342392711443,,
0.9957829546973452,0.9957829546973452,0.9957829546973452,0.9957829546973452,0.9957829546973452,0.9957829546973452,1.3333680995749546,,
0.9967630941799972,0.9967630941799972,0.9967630941799972,0.9967630941799972,0.9967630941799972,0.9967630941799972,1.3542019607612024,,
